match_id,date,timestamp,season,round,venue,city,referee,status,status_short,league,country,home_team,away_team,home_team_id,away_team_id,home_score,away_score,home_goals_halftime,away_goals_halftime,home_goals_fulltime,away_goals_fulltime,match_finished
900002,2010-08-01 00:00:00+00:00,1280617200,2010,Regular Season - 1,Estádio António Coimbra da Mota,Estoril,André Narciso,Match Finished,FT,Primeira Liga,Portugal,Estoril,FC Porto,1527,5942,0,1,0,0,0,1,True
900004,2010-08-01 00:00:00+00:00,1280617200,2010,Regular Season - 1,Estádio Municipal Eng. Manuel Branco Teixeira,Chaves,Manuel Mota,Match Finished,FT,Primeira Liga,Portugal,Chaves,Moreirense,9926,5225,0,0,0,0,0,0,True
900005,2010-08-01 00:00:00+00:00,1280617200,2010,Regular Season - 1,Estádio de Estrela,Portugal,João Pedro Pinheiro,Match Finished,FT,Primeira Liga,Portugal,Estrela,Maritimo,4243,6183,0,0,0,0,0,0,True
900001,2010-08-03 00:00:00+00:00,1280790000,2010,Regular Season - 1,Estádio de Farense,Portugal,Carlos Macedo,Match Finished,FT,Primeira Liga,Portugal,Farense,Benfica,4508,3056,1,1,0,1,1,1,True
900000,2010-08-04 00:00:00+00:00,1280876400,2010,Regular Season - 1,Estádio Municipal de Arouca,Arouca,Fábio Veríssimo,Match Finished,FT,Primeira Liga,Portugal,Arouca,Nacional,8411,5408,2,0,2,0,2,0,True
900006,2010-08-04 00:00:00+00:00,1280876400,2010,Regular Season - 1,Estádio Nacional,Jamor,Cláudio Pereira,Match Finished,FT,Primeira Liga,Portugal,Casa Pia,Famalicao,5124,3451,0,1,0,1,0,1,True
900007,2010-08-05 00:00:00+00:00,1280962800,2010,Regular Season - 1,Estádio de AVS,Portugal,Hélder Malheiro,Match Finished,FT,Primeira Liga,Portugal,AVS,Guimaraes,5289,4698,1,0,1,0,1,0,True
900003,2010-08-07 00:00:00+00:00,1281135600,2010,Regular Season - 1,Estádio Cidade de Barcelos,Barcelos,João Pedro Pinheiro,Match Finished,FT,Primeira Liga,Portugal,GIL Vicente,Boavista,3339,7048,1,0,0,0,1,0,True
900008,2010-08-08 00:00:00+00:00,1281222000,2010,Regular Season - 2,Estádio de Estrela,Portugal,Rui Costa,Match Finished,FT,Primeira Liga,Portugal,Estrela,Guimaraes,4243,4698,0,1,0,1,0,1,True
900015,2010-08-09 00:00:00+00:00,1281308400,2010,Regular Season - 2,Estádio do Dragão,Porto,Hélder Malheiro,Match Finished,FT,Primeira Liga,Portugal,FC Porto,Arouca,5942,8411,1,0,1,0,1,0,True
900009,2010-08-09 00:00:00+00:00,1281308400,2010,Regular Season - 2,Estádio de Nacional,Portugal,Rui Costa,Match Finished,FT,Primeira Liga,Portugal,Nacional,Farense,5408,4508,0,0,0,0,0,0,True
